"ymd","year","month","day","numBlocks","difficulty","rewardPerBlock","transactionFees","difficultyChange","bitx","bitfinex","coinebase","kraken","AvgPrice","Work","revenuePerDay","revenuePerGH"
"2016-03-10",2016,3,10,155,1.65497e+11,25,41.07926816,0,412.2729283,413.7792504,413.4698453,413.0581269,414.63611907,1.10176332558265e+23,1623747.90972035,1.47377197263455e-08
"2016-03-11",2016,3,11,160,1.65497e+11,25,39.76764706,0,418.5536343,420.2919868,418.6506788,419.8281734,420.28520438,1.1373040780208e+23,1697854.57119232,1.49287653496066e-08
"2016-03-12",2016,3,12,144,1.65497e+11,25,34.40586731,0,414.2728224,412.9765876,413.7087393,411.1498398,415.52695743,1.02357367021872e+23,1510193.61210906,1.47541271922944e-08
"2016-03-13",2016,3,13,133,1.65497e+11,25,35.80250793,0,411.412809,412.572412,413.0608597,409.7491566,414.19081,9.45384014854791e+22,1392013.51300956,1.47243182784656e-08
"2016-03-14",2016,3,14,152,1.65497e+11,25,41.05698574,0,412.7214497,414.5271483,413.6649207,412.4868371,415.56410756,1.08043887411976e+23,1596205.41836615,1.47736762958162e-08
"2016-03-15",2016,3,15,161,1.65497e+11,25,42.88754793,0,415.2363688,416.0656054,415.183946,415.3318931,417.33757461,1.14441222850843e+23,1697682.32303933,1.48345349756704e-08
"2016-03-16",2016,3,16,152,1.65497e+11,25,47.99646002,0,414.8021228,415.503813,414.9934939,415.2304877,417.39478972,1.08043887411976e+23,1606133.67327335,1.4865567240737e-08
"2016-03-17",2016,3,17,141,1.65497e+11,25,46.32816082,0,417.7816948,418.6136871,418.1440881,419.9533271,420.62884513,1.00224921875583e+23,1502203.63986596,1.49883243783494e-08
"2016-03-18",2016,3,18,136,1.65497e+11,25,42.894972,0,414.2611009,412.4045639,412.8820352,414.3149167,415.43413782,9.66708466317681e+22,1430296.10429763,1.47955268225365e-08
"2016-03-19",2016,3,19,136,1.66852e+11,25,34.35487023,1,409.0200504,406.9885462,408.4678672,408.9470822,410.77691548,9.74623352822334e+22,1410753.7002568,1.44748604286108e-08
"2016-03-20",2016,3,20,146,1.66852e+11,25,33.74667059,0,408.9711908,410.7560701,411.5196446,412.0640271,412.5511773,1.04628683464751e+23,1519734.02582686,1.45250229239371e-08
"2016-03-21",2016,3,21,139,1.66852e+11,25,41.13390235,0,408.8380833,409.5785672,409.5473029,410.4123223,412.62201537,9.96122397369885e+22,1450834.25709844,1.45648191520355e-08
"2016-03-22",2016,3,22,148,1.66852e+11,25,42.63768215,0,414.3779524,416.0117619,415.6727534,415.7124579,417.49082316,1.06061953101254e+23,1562516.88671044,1.4732114966983e-08
"2016-03-23",2016,3,23,149,1.66852e+11,25,38.35156743,0,416.5266954,417.616328,417.0375525,415.7437053,418.88751689,1.06778587919506e+23,1576420.99326484,1.47634560821615e-08
"2016-03-24",2016,3,24,147,1.66852e+11,25,38.50255692,0,415.2328667,416.1565969,415.722187,416.2308662,417.64092094,1.05345318283002e+23,1550910.62778511,1.47221599693563e-08
"2016-03-25",2016,3,25,146,1.66852e+11,25,32.7033762,0,414.8278818,415.7002685,414.8247495,416.1757798,417.26111258,1.04628683464751e+23,1536648.90805533,1.46866887470015e-08
"2016-03-26",2016,3,26,153,1.66852e+11,25,35.8323759,0,415.6014203,416.4601336,416.5075456,417.0493369,417.85077383,1.09645127192513e+23,1613251.79589773,1.47133925346743e-08
"2016-03-27",2016,3,27,141,1.66852e+11,25,31.75097348,0,418.5348744,420.7723716,419.8796606,420.7596088,421.15765451,1.01045509373492e+23,1497952.897667,1.48245370522123e-08
"2016-03-28",2016,3,28,170,1.66852e+11,25,46.15226717,0,423.3344064,425.2349785,422.7205928,424.1947135,424.28619817,1.21827919102792e+23,1822798.11219699,1.49620721228851e-08
"2016-03-29",2016,3,29,157,1.66852e+11,25,57.79052183,0,417.73067,419.043916,418.3646405,418.7565412,419.89048652,1.12511666465519e+23,1672335.84991844,1.48636661641746e-08
"2016-03-30",2016,3,30,147,1.66852e+11,25,45.75345212,0,412.4586704,413.6034385,413.1806136,413.0031918,415.10836402,1.05345318283002e+23,1544515.8784313,1.46614572304208e-08
"2016-03-31",2016,3,31,124,1.66852e+11,25,45.74989907,0,414.7980832,416.2927333,415.1714417,416.3690992,417.03451443,8.88627174632128e+22,1311886.28167688,1.476306733721e-08
"2016-04-01",2016,4,1,153,1.66852e+11,25,53.2276954,0,415.0211255,416.2672703,416.2237164,417.3998583,417.1269761,1.09645127192513e+23,1617713.39120947,1.47540837667061e-08
"2016-04-02",2016,4,2,139,1.78678e+11,25,49.66375403,1,417.8483381,420.3234428,419.4133096,421.1750972,420.50493564,1.06672474838334e+23,1482138.50504103,1.38942919182035e-08
"2016-04-03",2016,4,3,142,1.78678e+11,25,43.58224685,0,417.5184057,419.6205315,419.6768168,420.1888973,419.74033048,1.08974758467938e+23,1508371.39989988,1.38414750452846e-08
"2016-04-04",2016,4,4,166,1.78678e+11,25,45.08180774,0,417.8502385,419.7031599,419.3829551,420.0324274,420.28856928,1.27393027504772e+23,1763144.9309876,1.38401996209843e-08
"2016-04-05",2016,4,5,155,1.78678e+11,25,47.92742177,0,420.4038459,422.4797743,421.5155236,422.6275871,422.87641273,1.1895132086289e+23,1658913.47551825,1.39461543048387e-08
"2016-04-06",2016,4,6,157,1.78678e+11,25,58.44875393,0,420.6690793,422.9571916,422.0014681,423.2388842,422.89624638,1.2048617661596e+23,1684585.52568409,1.39815667904674e-08
"2016-04-07",2016,4,7,139,1.78678e+11,25,44.73522886,0,419.7460552,421.4427648,421.4505189,422.1640858,421.41061382,1.06672474838334e+23,1483253.78327777,1.39047470823725e-08
"2016-04-08",2016,4,8,144,1.78678e+11,25,43.53738918,0,419.7681667,421.8118322,422.2307835,422.8173644,421.84566901,1.10509614221007e+23,1537010.46750159,1.39083868705552e-08
"2016-04-09",2016,4,9,162,1.78678e+11,25,36.54361898,0,418.0553371,416.8443285,418.4123406,418.3561932,418.022534555556,1.24323315998633e+23,1708267.32117785,1.37405225034106e-08
"2016-04-10",2016,4,10,173,1.78678e+11,25,33.25339902,0,418.8881664,419.9129341,421.922884,420.0116373,420.114188788889,1.32765022640516e+23,1830964.09126571,1.37910125336502e-08
"2016-04-11",2016,4,11,153,1.78678e+11,25,50.11203705,0,419.6979312,421.9913994,422.5808489,421.9662353,421.693758222222,1.1741646510982e+23,1634110.55843578,1.39172181423397e-08
"2016-04-12",2016,4,12,148,1.78678e+11,25,50.75962758,0,423.0882147,426.2345289,426.7267129,426.1718603,425.093445911111,1.13579325727147e+23,1594423.33487226,1.40379714764513e-08
"2016-04-13",2016,4,13,164,1.78678e+11,25,45.74314812,0,422.8689728,425.4178365,426.6187766,424.4162051,425.452919611111,1.25858171751703e+23,1763818.52632541,1.40143345622812e-08
"2016-04-14",2016,4,14,164,1.78678e+11,25,44.86320501,0,422.8734907,425.1630809,425.8190841,424.1224626,424.957334755556,1.25858171751703e+23,1761390.02052742,1.39950389872367e-08
"2016-04-15",2016,4,15,139,1.78659e+11,25,44.67354732,1,426.4362875,429.2747638,428.6724772,427.5890476,427.872412355556,1.06661131656622e+23,1505971.21139585,1.41192127629405e-08
"2016-04-16",2016,4,16,138,1.78659e+11,25,34.12321152,0,429.4628944,432.3598742,432.4016533,430.4340085,430.334230411111,1.05893785385711e+23,1499337.48088695,1.41588807636418e-08
"2016-04-17",2016,4,17,158,1.78659e+11,25,34.28061725,0,427.6478544,429.8416335,432.66448,427.837728,428.6995708,1.2124071080393e+23,1708059.39056183,1.40881670788297e-08
"2016-04-18",2016,4,18,134,1.78659e+11,25,47.33042977,0,427.1291885,429.4994606,430.597362,428.2077969,428.324887311111,1.02824400302067e+23,1455161.17348984,1.41519052794378e-08
"2016-04-19",2016,4,19,150,1.78659e+11,25,43.48327587,0,428.3932198,430.8153754,431.201909,429.1241649,429.684309788889,1.15101940636642e+23,1630000.24308789,1.41613619550824e-08
"2016-04-20",2016,4,20,165,1.78659e+11,25,43.21507171,0,436.0579386,439.9584955,438.9925162,438.2651005,437.255470733333,1.26612134700306e+23,1822574.84329833,1.43949460106048e-08
"2016-04-21",2016,4,21,151,1.78659e+11,25,42.82120266,0,442.6277098,446.4810763,445.6076644,444.3409477,443.624876877778,1.15869286907553e+23,1693680.46097141,1.46171647912421e-08
"2016-04-22",2016,4,22,143,1.78659e+11,25,42.68874359,0,444.6477148,448.1024876,448.310042,447.0013071,446.391804233333,1.09730516740265e+23,1614906.60540576,1.47170236081935e-08
"2016-04-23",2016,4,23,144,1.78659e+11,25,33.15097021,0,445.2199673,448.9774278,450.0167129,447.3116297,447.1215748625,1.10497863011176e+23,1624460.18351352,1.47012814478521e-08
"2016-04-24",2016,4,24,132,1.78659e+11,25,33.26865456,0,452.1593493,456.9928018,459.1328705,453.3258592,453.838917155556,1.01289707760245e+23,1512767.03677407,1.49350518450978e-08
"2016-04-25",2016,4,25,127,1.78659e+11,25,43.29847026,0,456.8777393,462.1925719,464.114107,460.1789173,457.630570155556,9.74529764056903e+22,1472791.76387584,1.51128453762633e-08
"2016-04-26",2016,4,26,151,1.78659e+11,25,337.75557382,0,462.5638549,466.5464624,468.3379222,466.2661005,462.073927866667,1.15869286907553e+23,1900397.12235054,1.64012153096858e-08
"2016-04-27",2016,4,27,129,1.78659e+11,25,46.11149971,0,458.7069666,460.4626283,461.9925974,460.7238357,458.544371566667,9.89876689475122e+22,1499949.76695902,1.51528951323661e-08
"2016-04-28",2016,4,28,135,1.78659e+11,25,49.62034503,0,443.6312659,445.3992472,446.3988112,446.6127448,445.836735211111,1.03591746572978e+23,1526821.55396572,1.47388339754472e-08
"2016-04-29",2016,4,29,158,1.94255e+11,25,49.9195874,1,448.7212442,450.952517,452.8472829,452.0281648,450.948976233333,1.31824393269958e+23,1803759.64295369,1.36830490792386e-08
"2016-04-30",2016,4,30,146,1.94255e+11,25,40.87923127,0,451.4553397,451.9876609,456.0131776,453.3917189,452.829238022222,1.21812414034265e+23,1671338.02992804,1.37205886869454e-08
"2016-05-01",2016,5,1,155,1.94255e+11,25,34.50281105,0,449.8902845,449.7921193,455.2786455,451.0922967,451.419593555556,1.29321398461034e+23,1764826.16996849,1.3646822497827e-08
"2016-05-02",2016,5,2,157,1.94255e+11,25,45.13159943,0,446.191727,445.2709398,449.0932289,446.8660758,447.855508544444,1.30990061666983e+23,1778045.30645109,1.35738947201309e-08
"2016-05-03",2016,5,3,151,1.94255e+11,25,44.86828296,0,444.6900961,446.6129768,448.7150935,447.7581551,447.985705888889,1.25984072049137e+23,1711246.38914441,1.35830376119053e-08
"2016-05-04",2016,5,4,167,1.94255e+11,25,47.16983445,0,445.4601137,447.9220537,449.6126585,448.6640064,448.921798566667,1.39333377696727e+23,1895424.07593522,1.36035177447632e-08
"2016-05-05",2016,5,5,155,1.94255e+11,25,44.25619976,0,445.6500915,448.3447235,449.4311245,448.3339863,448.691528544444,1.29321398461034e+23,1758537.0550276,1.35981908327218e-08
"2016-05-06",2016,5,6,162,1.94255e+11,25,44.519552,0,450.6002437,453.5752584,454.2285267,452.3181422,452.919111211111,1.35161719681855e+23,1854486.15632836,1.37204983829257e-08
"2016-05-07",2016,5,7,150,1.94255e+11,25,37.61683514,0,456.7478751,460.6246892,461.4855285,459.7496427,458.241312777778,1.25149740446162e+23,1735642.51083377,1.38685266517226e-08
"2016-05-08",2016,5,8,168,1.94255e+11,25,34.73771327,0,456.064441,459.2913769,461.13864,458.9776852,458.066337288889,1.40167709299702e+23,1939790.79369671,1.38390703778223e-08
"2016-05-09",2016,5,9,171,1.94255e+11,25,40.4654474,0,457.0636543,460.299559,461.9370312,460.0180287,459.043668344444,1.42670704108625e+23,1980987.08958819,1.38850305811902e-08
"2016-05-10",2016,5,10,158,1.94255e+11,25,48.10185732,0,455.4618291,455.9577547,457.5615101,457.4344988,457.251169922222,1.31824393269958e+23,1828136.75172778,1.38679701562063e-08
"2016-05-11",2016,5,11,133,1.94255e+11,25,45.88566709,0,452.0831756,452.9087432,455.7005206,453.8640908,454.1150172,1.10966103195597e+23,1530769.80268981,1.37949315926825e-08
"2016-05-12",2016,5,12,139,1.99312e+11,25,46.75238994,1,450.5702795,450.7427661,452.6509046,452.1146684,452.428474888889,1.18991170177515e+23,1593341.06271685,1.33904142663683e-08
"2016-05-13",2016,5,13,152,1.99312e+11,25,47.58216903,0,453.5850442,455.0584629,456.1706694,455.561169,455.405018255556,1.30119840769656e+23,1752208.22792686,1.34661110677863e-08
"2016-05-14",2016,5,14,144,1.99312e+11,25,48.00318276,0,454.7053625,455.816751,457.8207615,455.7000482,456.0584849625,1.23271428097569e+23,1663702.8046679,1.34962564346305e-08
"2016-05-15",2016,5,15,139,1.99312e+11,25,45.61359577,0,455.2732944,456.7534196,460.3329884,456.1830551,456.8245105875,1.18991170177515e+23,1608302.58285533,1.35161506560194e-08
"2016-05-16",2016,5,16,141,1.99312e+11,25,60.51568467,0,454.7385856,456.553033,458.5628839,456.1289019,456.734971577778,1.20703273345536e+23,1637630.40432943,1.35674067400094e-08
"2016-05-17",2016,5,17,141,1.99312e+11,25,58.4408726,0,452.6531728,453.4486808,455.6007523,452.8188642,454.133380277778,1.20703273345536e+23,1627360.11649939,1.34823196703271e-08
"2016-05-18",2016,5,18,153,1.99312e+11,25,58.26811656,0,453.4054306,454.6814383,456.1940597,454.1266542,454.601801044444,1.30975892353667e+23,1765340.67972664,1.34783634453873e-08
"2016-05-19",2016,5,19,120,1.99312e+11,25,54.98968957,0,450.2347619,448.7100601,450.4782014,445.7112147,449.505964944444,1.02726190081308e+23,1373236.08830549,1.33679258153989e-08
"2016-05-20",2016,5,20,149,1.99312e+11,25,51.58622819,0,440.9276626,440.4220721,442.9467902,437.1469343,441.190107266667,1.27551686017624e+23,1666192.48311696,1.30628809005845e-08
"2016-05-21",2016,5,21,141,1.99312e+11,25,56.82664163,0,440.431284,440.3271179,445.54239,437.2043969,441.871447144444,1.20703273345536e+23,1582706.92155757,1.31123777979638e-08
"2016-05-22",2016,5,22,184,1.99312e+11,25,43.20770201,0,439.9981617,439.112193,444.6406682,440.2132551,441.573901377778,1.57513491458005e+23,2050319.3398839,1.30167855521795e-08
"2016-05-23",2016,5,23,180,1.99312e+11,25,54.73645083,0,441.0692962,440.7032536,443.6758655,439.9900848,441.655525811111,1.54089285121961e+23,2011624.52212236,1.30549279953513e-08
"2016-05-24",2016,5,24,147,1.99312e+11,25,59.53134626,0,444.2614812,444.8575497,446.3675044,443.6516464,445.097021677778,1.25839582849602e+23,1662228.77958263,1.32091091049567e-08
