"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"16/12/13:03","16","12","13","03",779.742185185185,85.56618023,66719.5603504896
"16/12/13:04","16","12","13","04",781.09102739726,102.09389436,79744.6248366398
"16/12/13:05","16","12","13","05",782.263389830508,174.37796133,136409.495141739
"16/12/13:06","16","12","13","06",781.355043478261,132.43057392,103475.296843113
"16/12/13:07","16","12","13","07",781.384622641509,177.45856913,138663.397074147
"16/12/13:08","16","12","13","08",782.753104477612,178.23036958,139510.375100937
"16/12/13:09","16","12","13","09",783.280476190476,193.51670403,151577.85608343
"16/12/13:10","16","12","13","10",779.625858778626,289.56478526,225752.194380376
"16/12/13:11","16","12","13","11",779.812668918919,329.49268469,256942.569837369
"16/12/13:12","16","12","13","12",778.083532467532,500.43665573,389381.520866637
"16/12/13:13","16","12","13","13",778.876237113402,207.58386795,161682.141954341
"16/12/13:14","16","12","13","14",780.875221445221,227.95364837,178003.35565017
"16/12/13:15","16","12","13","15",780.706214788732,224.35370898,175154.334911589
"16/12/13:16","16","12","13","16",779.132016806723,222.82888702,173613.12014669
"16/12/13:17","16","12","13","17",775.550469387755,268.96633501,208596.96736651
"16/12/13:18","16","12","13","18",776.571941489362,187.87540869,145898.770884501
"16/12/13:19","16","12","13","19",776.7718767507,213.12983423,165553.261326403
"16/12/13:20","16","12","13","20",778.983892215569,147.52945647,114923.070217448
"16/12/13:21","16","12","13","21",780.679143835616,175.09596297,136693.766460492
"16/12/13:22","16","12","13","22",779.948107255521,126.99944663,99052.978021567
"16/12/13:23","16","12","13","23",780.447840531561,132.44568732,103366.950656612
"16/12/14:00","16","12","14","00",780.057366255144,90.25548641,70404.4570190615
"16/12/14:01","16","12","14","01",781.439960159362,84.71393396,66198.8531786453
"16/12/14:02","16","12","14","02",781.000625,78.53722125,61337.6188820133
"16/12/14:03","16","12","14","03",780.011098901099,88.85660127,69309.1352012295
"16/12/14:04","16","12","14","04",779.925953947368,119.12617343,92909.5944524924
"16/12/14:05","16","12","14","05",780.385583756345,81.31081959,63453.791411449
"16/12/14:06","16","12","14","06",779.918402366864,127.61577379,99529.8904111079
"16/12/14:07","16","12","14","07",779.648753623188,139.469811,108737.464314212
"16/12/14:08","16","12","14","08",777.561428571429,312.88393558,243286.479926636
"16/12/14:09","16","12","14","09",775.8135,382.3157842,296605.746645447
"16/12/14:10","16","12","14","10",777.51476070529,194.73716671,151411.021574952
"16/12/14:11","16","12","14","11",777.423974763407,194.05499985,150863.009306099
"16/12/14:12","16","12","14","12",779.18712477396,355.63754595,277108.196890448
"16/12/14:13","16","12","14","13",778.511146496815,205.75566239,160183.076625451
"16/12/14:14","16","12","14","14",778.740133587786,343.243401,267297.411947866
"16/12/14:15","16","12","14","15",778.016065934066,201.05564255,156424.520050597
"16/12/14:16","16","12","14","16",777.402611940298,234.9725128,182668.245184895
"16/12/14:17","16","12","14","17",778.222088167053,219.68998572,170967.599436409
"16/12/14:18","16","12","14","18",777.767521186441,257.71941247,200445.788598418
"16/12/14:19","16","12","14","19",778.901979865772,202.92358826,158057.584657181
"16/12/14:20","16","12","14","20",779.267941787942,282.96056678,220502.0984818
"16/12/14:21","16","12","14","21",779.174059139785,230.14787842,179325.256630921
"16/12/14:22","16","12","14","22",779.649451697128,180.01143736,140345.818436936
"16/12/14:23","16","12","14","23",779.772960288809,161.41724284,125868.801291004
"16/12/15:00","16","12","15","00",779.776732283465,132.54384238,103354.604295371
"16/12/15:01","16","12","15","01",779.970641025641,102.78576198,80169.8766598496
"16/12/15:02","16","12","15","02",779.400442477876,153.38167981,119545.749111914
"16/12/15:03","16","12","15","03",779.205303030303,173.56023821,135239.058008435
"16/12/15:04","16","12","15","04",779.015189274448,183.77191913,143161.116364385
"16/12/15:05","16","12","15","05",778.405728571429,190.80316513,148522.276766752
"16/12/15:06","16","12","15","06",778.005616197183,180.66082422,140555.135869972
"16/12/15:07","16","12","15","07",778.423430962343,234.25971017,182353.247326776
"16/12/15:08","16","12","15","08",779.235352798054,258.17642664,201180.198896961
"16/12/15:09","16","12","15","09",778.327579075426,261.95065051,203883.415648681
"16/12/15:10","16","12","15","10",778.966410423453,853.33721913,664721.030466427
"16/12/15:11","16","12","15","11",777.722503681885,275.75116661,214457.88768913
"16/12/15:12","16","12","15","12",777.406597222222,216.82758194,168563.192659898
"16/12/15:13","16","12","15","13",778.062918918919,196.70639368,153049.950836675
"16/12/15:14","16","12","15","14",776.754943960149,389.31954384,302405.88045803
"16/12/15:15","16","12","15","15",776.744151696607,296.89949317,230614.944961484
"16/12/15:16","16","12","15","16",776.172482014388,291.88213296,226550.879595217
"16/12/15:17","16","12","15","17",776.194660869565,225.78607959,175253.949476429
"16/12/15:18","16","12","15","18",776.526386861314,218.46923429,169647.125143572
"16/12/15:19","16","12","15","19",777.964410058027,252.65510223,196556.677554512
"16/12/15:20","16","12","15","20",778.165984042553,157.00290009,122174.31624607
"16/12/15:21","16","12","15","21",779.123368421053,144.632649,112686.67667254
"16/12/15:22","16","12","15","22",779.341918367347,379.63142089,295862.679828934
"16/12/15:23","16","12","15","23",781.210759878419,237.76695326,185746.102230221
"16/12/16:00","16","12","16","00",780.770276497696,111.02958903,86688.6029263786
"16/12/16:01","16","12","16","01",780.334392523364,110.82693318,86482.0675782428
"16/12/16:02","16","12","16","02",780.081133004926,114.05378555,88971.2062553449
"16/12/16:03","16","12","16","03",779.109223744292,106.30634844,82824.2566121786
"16/12/16:04","16","12","16","04",779.398996539792,102.77775775,80104.8812569599
"16/12/16:05","16","12","16","05",780.611825842697,188.82784555,147401.249284728
"16/12/16:06","16","12","16","06",780.085569620253,269.06822392,209896.238723343
"16/12/16:07","16","12","16","07",780.508214285714,211.09276428,164759.636496818
"16/12/16:08","16","12","16","08",780.715024875622,252.28858569,196965.489452804
"16/12/16:09","16","12","16","09",781.938571428571,286.30703704,223874.515533005
"16/12/16:10","16","12","16","10",782.111152815013,307.90625116,240816.913053697
"16/12/16:11","16","12","16","11",779.63423670669,430.31542819,335488.640400023
"16/12/16:12","16","12","16","12",779.516075,322.82885032,251650.278298209
"16/12/16:13","16","12","16","13",780.785501066098,338.66719345,264426.434332507
"16/12/16:14","16","12","16","14",781.423124042879,314.06539037,245417.958496672
"16/12/16:15","16","12","16","15",782.556168958743,270.8377284,211945.735146192
"16/12/16:16","16","12","16","16",783.02222392638,366.5183374,286992.003660747
"16/12/16:17","16","12","16","17",781.228414154653,427.94549585,334323.181067522
"16/12/16:18","16","12","16","18",786.465097276265,448.84521179,353001.093152408
"16/12/16:19","16","12","16","19",789.008210784314,376.94007476,297408.813959293
"16/12/16:20","16","12","16","20",788.772431818182,322.58236876,254444.079468495
"16/12/16:21","16","12","16","21",788.113377483444,166.76280425,131427.996896078
"16/12/16:22","16","12","16","22",787.980534124629,198.23638092,156206.409320275
"16/12/16:23","16","12","16","23",788.738721804511,124.88745962,98503.5752700913
"16/12/17:00","16","12","17","00",788.732549019608,93.66200804,73874.2743476842
"16/12/17:01","16","12","17","01",789.310952380952,54.8337671,43280.8929323363
"16/12/17:02","16","12","17","02",789.191291866029,103.33639729,81552.1848740763
"16/12/17:03","16","12","17","03",789.208186046512,87.70802728,69219.8931113667
"16/12/17:04","16","12","17","04",789.759320987654,76.31438909,60270.0001093061
"16/12/17:05","16","12","17","05",789.423170731707,63.37897805,50032.8338099663
"16/12/17:06","16","12","17","06",789.106132404181,82.77083867,65314.9763787341
"16/12/17:07","16","12","17","07",788.852107279693,105.68504661,83369.8717262511
"16/12/17:08","16","12","17","08",789.506048109966,136.40602939,107693.385202071
"16/12/17:09","16","12","17","09",789.865747126437,137.21324424,108380.04167727
"16/12/17:10","16","12","17","10",790.157957957958,171.57931396,135574.760346461
"16/12/17:11","16","12","17","11",791.301454545455,179.44304317,141993.541068484
"16/12/17:12","16","12","17","12",791.211538461538,224.71005241,177793.186275089
"16/12/17:13","16","12","17","13",790.793010752688,155.7237902,123145.284898078
"16/12/17:14","16","12","17","14",790.777142857143,123.45201446,97623.0312746375
"16/12/17:15","16","12","17","15",790.805166666667,134.81016228,106608.572850196
"16/12/17:16","16","12","17","16",789.461312127237,367.10347272,289813.989259996
"16/12/17:17","16","12","17","17",790.399941860465,151.08133589,119414.679103657
"16/12/17:18","16","12","17","18",791.035211267606,217.09868981,171732.707959774
"16/12/17:19","16","12","17","19",791.018386243386,164.50068783,130123.068623214
"16/12/17:20","16","12","17","20",791.060654545455,118.37334707,93640.4974139305
"16/12/17:21","16","12","17","21",791.468473520249,111.1653896,87983.9012149958
"16/12/17:22","16","12","17","22",791.396393442623,154.24012967,122065.08234496
"16/12/17:23","16","12","17","23",790.365258215962,84.27168869,66605.4149917671
"16/12/18:00","16","12","18","00",790.910289855073,64.36379192,50905.9853236188
"16/12/18:01","16","12","18","01",791.276335403727,49.69665665,39323.7883558293
"16/12/18:02","16","12","18","02",791.581034482759,37.84464844,29957.1059617715
"16/12/18:03","16","12","18","03",791.5704,35.2172106,27876.9014815262
"16/12/18:04","16","12","18","04",791.281017964072,45.87153545,36297.275266451
"16/12/18:05","16","12","18","05",791.399611650485,64.06039706,50697.3733554599
"16/12/18:06","16","12","18","06",789.721891891892,81.36635233,64256.7896983898
"16/12/18:07","16","12","18","07",788.329282868526,126.11045872,99416.5674849584
"16/12/18:08","16","12","18","08",788.51301369863,96.12009193,75791.9433647137
"16/12/18:09","16","12","18","09",789.153496732026,125.15456343,98766.1613627547
"16/12/18:10","16","12","18","10",789.444,109.36050293,86333.9928750709
"16/12/18:11","16","12","18","11",789.429118644068,154.51155319,121975.919255108
"16/12/18:12","16","12","18","12",788.298715277778,196.95300905,155257.804004208
"16/12/18:13","16","12","18","13",788.552326388889,124.17220924,97916.2844690499
"16/12/18:14","16","12","18","14",790.046780821918,215.87213517,170549.085460212
"16/12/18:15","16","12","18","15",790.081486486486,202.96043963,160355.285840821
"16/12/18:16","16","12","18","16",790.24347826087,116.67902412,92204.8378606727
"16/12/18:17","16","12","18","17",791.167509881423,127.34898555,100754.379783519
"16/12/18:18","16","12","18","18",792.414855875831,297.60331169,235825.285341001
"16/12/18:19","16","12","18","19",793.756143250689,157.85888255,125301.457790751
"16/12/18:20","16","12","18","20",794.051682539683,180.4274733,143268.738750249
"16/12/18:21","16","12","18","21",794.583677884615,227.55780599,180813.718414888
"16/12/18:22","16","12","18","22",794.842866894198,127.55178931,101383.629892645
"16/12/18:23","16","12","18","23",794.94249070632,141.38075523,112389.569700477
"16/12/19:00","16","12","19","00",794.831573770492,125.01245887,99363.849424561
"16/12/19:01","16","12","19","01",794.632533333333,109.7887749,87241.7323303501
"16/12/19:02","16","12","19","02",794.232214765101,106.73958284,84776.0152821161
"16/12/19:03","16","12","19","03",794.253255813954,133.71127345,106200.614276692
"16/12/19:04","16","12","19","04",794.212111111111,147.1940361,116903.286153946
"16/12/19:05","16","12","19","05",793.937169811321,310.46047605,246486.111693412
"16/12/19:06","16","12","19","06",792.1240625,215.98604941,171087.746901975
"16/12/19:07","16","12","19","07",792.390794520548,333.04578363,263902.413102294
"16/12/19:08","16","12","19","08",792.341292517007,274.07886931,217164.005560685
"16/12/19:09","16","12","19","09",792.159112709832,385.54092533,305409.75732274
"16/12/19:10","16","12","19","10",791.73191318328,331.42480859,262399.597781363
"16/12/19:11","16","12","19","11",790.929356617647,273.57465469,216378.225620857
"16/12/19:12","16","12","19","12",790.656599378882,266.78101108,210932.166999373
"16/12/19:13","16","12","19","13",790.890557065217,224.10646872,177243.68988788
"16/12/19:14","16","12","19","14",791.209685314685,315.20520435,249393.410543315
"16/12/19:15","16","12","19","15",790.109570917759,354.80954474,280338.417152047
"16/12/19:16","16","12","19","16",789.916492307692,329.19488559,260036.469310885
"16/12/19:17","16","12","19","17",791.487768924303,263.44582658,208514.149512223
"16/12/19:18","16","12","19","18",791.09207165109,203.87860182,161286.745479112
"16/12/19:19","16","12","19","19",790.773572519084,224.34247755,177404.102439996
"16/12/19:20","16","12","19","20",790.597157360406,194.8254337,154028.434064728
"16/12/19:21","16","12","19","21",790.604501718213,144.80270309,114481.66892392
"16/12/19:22","16","12","19","22",789.550952380952,179.96716236,142093.244438635
"16/12/19:23","16","12","19","23",790.556623036649,124.42091109,98361.7753064536
"16/12/20:00","16","12","20","00",790.720104895105,156.07659041,123412.897940666
"16/12/20:01","16","12","20","01",790.444067164179,153.24876141,121134.574256793
"16/12/20:02","16","12","20","02",790.621504424779,91.60258044,72422.9699566646
"16/12/20:03","16","12","20","03",790.598486238532,174.45946263,137927.387065266
"16/12/20:04","16","12","20","04",790.795488958991,143.32587792,113341.457710223
"16/12/20:05","16","12","20","05",790.861212121212,112.65940127,89097.9506452422
"16/12/20:06","16","12","20","06",791.246128640777,427.29253189,338093.561655078
"16/12/20:07","16","12","20","07",790.608094170404,232.96257014,184182.093591424
"16/12/20:08","16","12","20","08",790.724268292683,308.59640898,244014.66968846
"16/12/20:09","16","12","20","09",791.438427947598,228.56043059,180891.507877176
"16/12/20:10","16","12","20","10",791.480865006553,347.1729276,274780.729043705
"16/12/20:11","16","12","20","11",792.218401360544,322.72154178,255665.943913562
"16/12/20:12","16","12","20","12",791.708523878437,325.50167034,257702.446944847
