"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"13/05/13:01","13","05","13","01",115.3808,59.14561622,6824.26851595658
"13/05/13:02","13","05","13","02",116.301492537313,193.99428541,22561.8249368926
"13/05/13:03","13","05","13","03",116.227333333333,125.6601618,14605.1455122492
"13/05/13:04","13","05","13","04",116.689903846154,202.26316829,23602.0696593785
"13/05/13:05","13","05","13","05",117.103168316832,234.63228261,27476.1836830413
"13/05/13:06","13","05","13","06",117.130479041916,224.82393479,26333.7351820412
"13/05/13:07","13","05","13","07",116.310481927711,208.76778474,24281.88165409
"13/05/13:08","13","05","13","08",116.327552447552,42.42843597,4935.5961105678
"13/05/13:09","13","05","13","09",116.361703703704,69.79871368,8121.89724013181
"13/05/13:10","13","05","13","10",116.383361344538,140.82542001,16389.7357435201
"13/05/13:11","13","05","13","11",116.57224137931,151.07320254,17610.9418324383
"13/05/13:12","13","05","13","12",116.188156424581,156.29694869,18159.8543230784
"13/05/13:13","13","05","13","13",116.415024154589,247.7930681,28846.8360082013
"13/05/13:14","13","05","13","14",115.606548463357,676.10150529,78161.761437457
"13/05/13:15","13","05","13","15",115.795,120.29175981,13929.184327199
"13/05/13:16","13","05","13","16",115.768263157895,78.93466891,9138.12952265417
"13/05/13:17","13","05","13","17",115.878516129032,97.90206084,11344.7455361134
"13/05/13:18","13","05","13","18",115.662784810127,94.95431744,10982.6807848552
"13/05/13:19","13","05","13","19",116.024104477612,80.93540052,9390.45736586985
"13/05/13:20","13","05","13","20",116.150505050505,29.92730622,3476.07173225412
"13/05/13:21","13","05","13","21",115.803928571429,111.27473218,12886.0511371776
"13/05/13:22","13","05","13","22",115.641206896552,132.30903044,15300.3759633942
"13/05/13:23","13","05","13","23",115.670722222222,175.84268969,20339.8509139404
"13/05/14:00","13","05","14","00",116.025423728814,85.89616302,9966.13871107475
"13/05/14:01","13","05","14","01",116.327322404372,70.9615844,8254.77110682383
"13/05/14:02","13","05","14","02",116.135726872247,153.713452,17851.6234780622
"13/05/14:03","13","05","14","03",115.767853403141,266.61344654,30865.266394349
"13/05/14:04","13","05","14","04",116.650551470588,497.61657162,58047.2475003765
"13/05/14:05","13","05","14","05",117.359960474308,314.59576081,36920.9460540465
"13/05/14:06","13","05","14","06",117.346077348066,179.94605913,21115.9641731487
"13/05/14:07","13","05","14","07",117.29641509434,509.54599704,59767.918778463
"13/05/14:08","13","05","14","08",117.604060913706,390.44756123,45918.2187745007
"13/05/14:09","13","05","14","09",117.457239583333,123.1955216,14470.2058961649
"13/05/14:10","13","05","14","10",117.020292397661,211.55099878,24755.7597342528
"13/05/14:11","13","05","14","11",117.349387755102,176.17949566,20674.5559507037
"13/05/14:12","13","05","14","12",117.221906976744,174.24849006,20425.7402926515
"13/05/14:13","13","05","14","13",115.960967741935,856.45137984,99314.9308301624
"13/05/14:14","13","05","14","14",113.64695229682,2807.63219536,319078.842173093
"13/05/14:15","13","05","14","15",114.391651785714,626.5397848,71670.920892738
"13/05/14:16","13","05","14","16",110.19028548124,2440.60809001,268931.302186025
"13/05/14:17","13","05","14","17",106.737318518519,1609.02181057,171742.673498053
"13/05/14:18","13","05","14","18",104.519938931298,1225.91758286,128132.830895331
"13/05/14:19","13","05","14","19",106.563245901639,338.10862692,36029.9527519416
"13/05/14:20","13","05","14","20",105.215916030534,447.97384111,47133.9780501057
"13/05/14:21","13","05","14","21",105.696181818182,191.92235294,20285.4599113195
"13/05/14:22","13","05","14","22",105.758421052632,455.07588361,48128.1069097247
"13/05/14:23","13","05","14","23",107.71474137931,206.70942389,22265.6521349776
"13/05/15:00","13","05","15","00",111.214632911392,555.06507684,61731.3587626944
"13/05/15:01","13","05","15","01",111.294371859296,537.54609496,59825.8549839909
"13/05/15:02","13","05","15","02",110.69375,381.65400976,42246.713542871
"13/05/15:03","13","05","15","03",111.618846153846,277.53551671,30978.1941418817
"13/05/15:04","13","05","15","04",112.198625429553,281.1000883,31539.043515386
"13/05/15:05","13","05","15","05",110.997519379845,362.06071013,40187.8406893351
"13/05/15:06","13","05","15","06",111.595802469136,107.8821619,12039.1964293357
"13/05/15:07","13","05","15","07",111.438955223881,170.74962343,19028.1596399102
"13/05/15:08","13","05","15","08",111.486953405018,272.31802702,30359.9071897251
"13/05/15:09","13","05","15","09",112.052641509434,516.03390853,57822.9625592241
"13/05/15:10","13","05","15","10",111.515675675676,289.47949436,32281.5014078083
"13/05/15:11","13","05","15","11",112.658386363636,623.37196542,70228.0797285457
"13/05/15:12","13","05","15","12",110.553571428571,640.97402132,70861.9672498593
"13/05/15:13","13","05","15","13",108.145471349353,742.02688401,80246.8471251532
"13/05/15:14","13","05","15","14",108.727402597403,613.53741359,66708.329375969
"13/05/15:15","13","05","15","15",107.778532110092,1056.99325086,113921.181027965
"13/05/15:16","13","05","15","16",107.94829015544,243.29291573,26263.0542599852
"13/05/15:17","13","05","15","17",108.84353125,377.18942061,41054.6284893339
"13/05/15:18","13","05","15","18",109.362590361446,359.16991209,39279.7519660552
"13/05/15:19","13","05","15","19",110.492425742574,214.48653337,23699.1373611669
"13/05/15:20","13","05","15","20",110.741742424242,156.04817564,17281.0468724978
"13/05/15:21","13","05","15","21",110.236115384615,374.25260201,41256.1530181669
